Project Name,Package Name,Type Name,Method Name,Implementation Smell,Cause of the Smell,Method start line no
Railway-Ticket-Booking-System,Admin,Add,Add,Long Method,The method has 166 lines of code.,50
Railway-Ticket-Booking-System,Admin,Add,Add,Long Statement,The length of the statement "PreparedStatement st=(PreparedStatement)con.prepareStatement("INSERT INTO stu(name`prt`gender`class`dob`section`teach`roll`pass`marks) values(?`?`?`?`?`?`?`?`?`?)");" is 165.,50
Railway-Ticket-Booking-System,Admin,Add,Add,Long Statement,The length of the statement "JOptionPane.showMessageDialog(btnNewButton`"Congratulations`" + n + "Ticket is booked sucessfully.\n+Ticket ID:"+ rand_int1+ ""+ n+ "Thankyou.");" is 145.,50
Railway-Ticket-Booking-System,Admin,Add,Add,Magic Number,The method contains a magic number: 450,50
Railway-Ticket-Booking-System,Admin,Add,Add,Magic Number,The method contains a magic number: 319,50
Railway-Ticket-Booking-System,Admin,Add,Add,Magic Number,The method contains a magic number: 1014,50
Railway-Ticket-Booking-System,Admin,Add,Add,Magic Number,The method contains a magic number: 460,50
Railway-Ticket-Booking-System,Admin,Add,Add,Magic Number,The method contains a magic number: 5,50
Railway-Ticket-Booking-System,Admin,Add,Add,Magic Number,The method contains a magic number: 5,50
Railway-Ticket-Booking-System,Admin,Add,Add,Magic Number,The method contains a magic number: 5,50
Railway-Ticket-Booking-System,Admin,Add,Add,Magic Number,The method contains a magic number: 5,50
Railway-Ticket-Booking-System,Admin,Add,Add,Magic Number,The method contains a magic number: 20,50
Railway-Ticket-Booking-System,Admin,Add,Add,Magic Number,The method contains a magic number: 59,50
Railway-Ticket-Booking-System,Admin,Add,Add,Magic Number,The method contains a magic number: 25,50
Railway-Ticket-Booking-System,Admin,Add,Add,Magic Number,The method contains a magic number: 145,50
Railway-Ticket-Booking-System,Admin,Add,Add,Magic Number,The method contains a magic number: 32,50
Railway-Ticket-Booking-System,Admin,Add,Add,Magic Number,The method contains a magic number: 20,50
Railway-Ticket-Booking-System,Admin,Add,Add,Magic Number,The method contains a magic number: 59,50
Railway-Ticket-Booking-System,Admin,Add,Add,Magic Number,The method contains a magic number: 107,50
Railway-Ticket-Booking-System,Admin,Add,Add,Magic Number,The method contains a magic number: 164,50
Railway-Ticket-Booking-System,Admin,Add,Add,Magic Number,The method contains a magic number: 32,50
Railway-Ticket-Booking-System,Admin,Add,Add,Magic Number,The method contains a magic number: 20,50
Railway-Ticket-Booking-System,Admin,Add,Add,Magic Number,The method contains a magic number: 59,50
Railway-Ticket-Booking-System,Admin,Add,Add,Magic Number,The method contains a magic number: 184,50
Railway-Ticket-Booking-System,Admin,Add,Add,Magic Number,The method contains a magic number: 145,50
Railway-Ticket-Booking-System,Admin,Add,Add,Magic Number,The method contains a magic number: 32,50
Railway-Ticket-Booking-System,Admin,Add,Add,Magic Number,The method contains a magic number: 20,50
Railway-Ticket-Booking-System,Admin,Add,Add,Magic Number,The method contains a magic number: 235,50
Railway-Ticket-Booking-System,Admin,Add,Add,Magic Number,The method contains a magic number: 26,50
Railway-Ticket-Booking-System,Admin,Add,Add,Magic Number,The method contains a magic number: 166,50
Railway-Ticket-Booking-System,Admin,Add,Add,Magic Number,The method contains a magic number: 37,50
Railway-Ticket-Booking-System,Admin,Add,Add,Magic Number,The method contains a magic number: 20,50
Railway-Ticket-Booking-System,Admin,Add,Add,Magic Number,The method contains a magic number: 235,50
Railway-Ticket-Booking-System,Admin,Add,Add,Magic Number,The method contains a magic number: 102,50
Railway-Ticket-Booking-System,Admin,Add,Add,Magic Number,The method contains a magic number: 166,50
Railway-Ticket-Booking-System,Admin,Add,Add,Magic Number,The method contains a magic number: 37,50
Railway-Ticket-Booking-System,Admin,Add,Add,Magic Number,The method contains a magic number: 20,50
Railway-Ticket-Booking-System,Admin,Add,Add,Magic Number,The method contains a magic number: 235,50
Railway-Ticket-Booking-System,Admin,Add,Add,Magic Number,The method contains a magic number: 172,50
Railway-Ticket-Booking-System,Admin,Add,Add,Magic Number,The method contains a magic number: 75,50
Railway-Ticket-Booking-System,Admin,Add,Add,Magic Number,The method contains a magic number: 44,50
Railway-Ticket-Booking-System,Admin,Add,Add,Magic Number,The method contains a magic number: 20,50
Railway-Ticket-Booking-System,Admin,Add,Add,Magic Number,The method contains a magic number: 235,50
Railway-Ticket-Booking-System,Admin,Add,Add,Magic Number,The method contains a magic number: 213,50
Railway-Ticket-Booking-System,Admin,Add,Add,Magic Number,The method contains a magic number: 138,50
Railway-Ticket-Booking-System,Admin,Add,Add,Magic Number,The method contains a magic number: 40,50
Railway-Ticket-Booking-System,Admin,Add,Add,Magic Number,The method contains a magic number: 20,50
Railway-Ticket-Booking-System,Admin,Add,Add,Magic Number,The method contains a magic number: 481,50
Railway-Ticket-Booking-System,Admin,Add,Add,Magic Number,The method contains a magic number: 25,50
Railway-Ticket-Booking-System,Admin,Add,Add,Magic Number,The method contains a magic number: 158,50
Railway-Ticket-Booking-System,Admin,Add,Add,Magic Number,The method contains a magic number: 32,50
Railway-Ticket-Booking-System,Admin,Add,Add,Magic Number,The method contains a magic number: 31,50
Railway-Ticket-Booking-System,Admin,Add,Add,Magic Number,The method contains a magic number: 662,50
Railway-Ticket-Booking-System,Admin,Add,Add,Magic Number,The method contains a magic number: 32,50
Railway-Ticket-Booking-System,Admin,Add,Add,Magic Number,The method contains a magic number: 48,50
Railway-Ticket-Booking-System,Admin,Add,Add,Magic Number,The method contains a magic number: 27,50
Railway-Ticket-Booking-System,Admin,Add,Add,Magic Number,The method contains a magic number: 739,50
Railway-Ticket-Booking-System,Admin,Add,Add,Magic Number,The method contains a magic number: 32,50
Railway-Ticket-Booking-System,Admin,Add,Add,Magic Number,The method contains a magic number: 75,50
Railway-Ticket-Booking-System,Admin,Add,Add,Magic Number,The method contains a magic number: 27,50
Railway-Ticket-Booking-System,Admin,Add,Add,Magic Number,The method contains a magic number: 1901,50
Railway-Ticket-Booking-System,Admin,Add,Add,Magic Number,The method contains a magic number: 2018,50
Railway-Ticket-Booking-System,Admin,Add,Add,Magic Number,The method contains a magic number: 841,50
Railway-Ticket-Booking-System,Admin,Add,Add,Magic Number,The method contains a magic number: 32,50
Railway-Ticket-Booking-System,Admin,Add,Add,Magic Number,The method contains a magic number: 109,50
Railway-Ticket-Booking-System,Admin,Add,Add,Magic Number,The method contains a magic number: 27,50
Railway-Ticket-Booking-System,Admin,Add,Add,Magic Number,The method contains a magic number: 20,50
Railway-Ticket-Booking-System,Admin,Add,Add,Magic Number,The method contains a magic number: 481,50
Railway-Ticket-Booking-System,Admin,Add,Add,Magic Number,The method contains a magic number: 184,50
Railway-Ticket-Booking-System,Admin,Add,Add,Magic Number,The method contains a magic number: 158,50
Railway-Ticket-Booking-System,Admin,Add,Add,Magic Number,The method contains a magic number: 32,50
Railway-Ticket-Booking-System,Admin,Add,Add,Magic Number,The method contains a magic number: 20,50
Railway-Ticket-Booking-System,Admin,Add,Add,Magic Number,The method contains a magic number: 481,50
Railway-Ticket-Booking-System,Admin,Add,Add,Magic Number,The method contains a magic number: 261,50
Railway-Ticket-Booking-System,Admin,Add,Add,Magic Number,The method contains a magic number: 145,50
Railway-Ticket-Booking-System,Admin,Add,Add,Magic Number,The method contains a magic number: 32,50
Railway-Ticket-Booking-System,Admin,Add,Add,Magic Number,The method contains a magic number: 20,50
Railway-Ticket-Booking-System,Admin,Add,Add,Magic Number,The method contains a magic number: 662,50
Railway-Ticket-Booking-System,Admin,Add,Add,Magic Number,The method contains a magic number: 185,50
Railway-Ticket-Booking-System,Admin,Add,Add,Magic Number,The method contains a magic number: 166,50
Railway-Ticket-Booking-System,Admin,Add,Add,Magic Number,The method contains a magic number: 37,50
Railway-Ticket-Booking-System,Admin,Add,Add,Magic Number,The method contains a magic number: 20,50
Railway-Ticket-Booking-System,Admin,Add,Add,Magic Number,The method contains a magic number: 481,50
Railway-Ticket-Booking-System,Admin,Add,Add,Magic Number,The method contains a magic number: 107,50
Railway-Ticket-Booking-System,Admin,Add,Add,Magic Number,The method contains a magic number: 169,50
Railway-Ticket-Booking-System,Admin,Add,Add,Magic Number,The method contains a magic number: 32,50
Railway-Ticket-Booking-System,Admin,Add,Add,Magic Number,The method contains a magic number: 20,50
Railway-Ticket-Booking-System,Admin,Add,Add,Magic Number,The method contains a magic number: 662,50
Railway-Ticket-Booking-System,Admin,Add,Add,Magic Number,The method contains a magic number: 262,50
