Project Name,Package Name,Type Name,Method Name,LOC,CC,PC,Line no,IsTest,Main prod class tested,Production classes tested
Railway-Ticket-Booking-System,Admin,Add,main,14,1,1,34,0,,
Railway-Ticket-Booking-System,Admin,Add,run,9,1,0,39,0,,
Railway-Ticket-Booking-System,Admin,Add,Add,166,7,0,50,0,,
Railway-Ticket-Booking-System,Admin,Add,actionPerformed,54,5,1,187,0,,
Railway-Ticket-Booking-System,Admin,AddAdmin,main,14,1,1,33,0,,
Railway-Ticket-Booking-System,Admin,AddAdmin,run,9,1,0,38,0,,
Railway-Ticket-Booking-System,Admin,AddAdmin,AddAdmin,71,3,0,49,0,,
Railway-Ticket-Booking-System,Admin,AddAdmin,actionPerformed,31,3,1,105,0,,
Railway-Ticket-Booking-System,Admin,AdminHome,main,14,1,1,41,0,,
Railway-Ticket-Booking-System,Admin,AdminHome,run,9,1,0,46,0,,
Railway-Ticket-Booking-System,Admin,AdminHome,AdminHome,69,2,0,57,0,,
Railway-Ticket-Booking-System,Admin,AdminHome,actionPerformed,4,1,1,80,0,,
Railway-Ticket-Booking-System,Admin,AdminHome,actionPerformed,9,2,1,89,0,,
Railway-Ticket-Booking-System,Admin,AdminHome,actionPerformed,4,1,1,107,0,,
Railway-Ticket-Booking-System,Admin,AdminHome,actionPerformed,4,1,1,123,0,,
Railway-Ticket-Booking-System,Admin,AdminLogin,main,15,1,1,43,0,,
Railway-Ticket-Booking-System,Admin,AdminLogin,run,10,1,0,45,0,,
Railway-Ticket-Booking-System,Admin,AdminLogin,AdminLogin,91,3,0,58,0,,
Railway-Ticket-Booking-System,Admin,AdminLogin,actionPerformed,33,3,1,104,0,,
Railway-Ticket-Booking-System,Admin,AdminLogin,actionPerformed,6,1,1,155,0,,
Railway-Ticket-Booking-System,Admin,Home,main,14,1,1,27,0,,
Railway-Ticket-Booking-System,Admin,Home,run,9,1,0,34,0,,
Railway-Ticket-Booking-System,Admin,Home,Home,50,3,0,45,0,,
Railway-Ticket-Booking-System,User,UserLogin,main,14,1,1,33,0,,
Railway-Ticket-Booking-System,User,UserLogin,run,9,1,0,38,0,,
Railway-Ticket-Booking-System,User,UserLogin,UserLogin,43,1,0,49,0,,
Railway-Ticket-Booking-System,User,UserLogin,actionPerformed,6,1,1,70,0,,
Railway-Ticket-Booking-System,User,UserLogin,actionPerformed,5,1,1,86,0,,
