Project Name,Package Name,Type Name,Method Name,LOC,CC,PC,Line no,IsTest,Main prod class tested,Production classes tested
School-Management-System,Admin,aa,main,14,1,1,29,0,,
School-Management-System,Admin,aa,run,9,1,0,34,0,,
School-Management-System,Admin,aa,aa,45,2,0,45,0,,
School-Management-System,Admin,aa,actionPerformed,24,2,1,65,0,,
School-Management-System,Admin,Add_faculty,main,14,1,1,28,0,,
School-Management-System,Admin,Add_faculty,run,9,1,0,33,0,,
School-Management-System,Admin,Add_faculty,Add_faculty,71,3,0,44,0,,
School-Management-System,Admin,Add_faculty,actionPerformed,31,3,1,95,0,,
School-Management-System,Admin,Add_Students,main,14,1,1,35,0,,
School-Management-System,Admin,Add_Students,run,9,1,0,40,0,,
School-Management-System,Admin,Add_Students,Add_Students,162,7,0,51,0,,
School-Management-System,Admin,Add_Students,actionPerformed,50,5,1,188,0,,
School-Management-System,Admin,AdminHome,main,14,1,1,32,0,,
School-Management-System,Admin,AdminHome,run,9,1,0,37,0,,
School-Management-System,Admin,AdminHome,AdminHome,152,3,0,48,0,,
School-Management-System,Admin,AdminHome,actionPerformed,4,1,1,71,0,,
School-Management-System,Admin,AdminHome,actionPerformed,4,1,1,80,0,,
School-Management-System,Admin,AdminHome,actionPerformed,9,2,1,102,0,,
School-Management-System,Admin,AdminHome,actionPerformed,4,1,1,120,0,,
School-Management-System,Admin,AdminHome,actionPerformed,4,1,1,131,0,,
School-Management-System,Admin,AdminHome,actionPerformed,4,1,1,142,0,,
School-Management-System,Admin,AdminHome,actionPerformed,4,1,1,152,0,,
School-Management-System,Admin,AdminHome,actionPerformed,4,1,1,164,0,,
School-Management-System,Admin,AdminHome,actionPerformed,23,2,1,187,0,,
School-Management-System,Admin,AdminLogin,main,15,1,1,38,0,,
School-Management-System,Admin,AdminLogin,run,10,1,0,40,0,,
School-Management-System,Admin,AdminLogin,AdminLogin,91,3,0,53,0,,
School-Management-System,Admin,AdminLogin,actionPerformed,33,3,1,100,0,,
School-Management-System,Admin,AdminLogin,actionPerformed,6,1,1,151,0,,
School-Management-System,Admin,AdminSearch,main,14,1,1,30,0,,
School-Management-System,Admin,AdminSearch,run,9,1,0,35,0,,
School-Management-System,Admin,AdminSearch,AdminSearch,129,3,9,46,0,,
School-Management-System,Admin,AdminSearch,actionPerformed,37,3,1,166,0,,
School-Management-System,Admin,Home,main,14,1,1,22,0,,
School-Management-System,Admin,Home,run,9,1,0,29,0,,
School-Management-System,Admin,Home,Home,50,3,0,40,0,,
School-Management-System,User,Change,main,12,1,1,30,0,,
School-Management-System,User,Change,run,7,1,0,35,0,,
School-Management-System,User,Change,Change,42,1,1,45,0,,
School-Management-System,User,Change,actionPerformed,17,1,1,65,0,,
School-Management-System,User,UserHome,main,12,1,1,37,0,,
School-Management-System,User,UserHome,run,7,1,0,42,0,,
School-Management-System,User,UserHome,UserHome,187,4,1,55,0,,
School-Management-System,User,UserHome,actionPerformed,2,1,1,84,0,,
School-Management-System,User,UserHome,actionPerformed,12,2,1,95,0,,
School-Management-System,User,UserHome,actionPerformed,13,2,1,255,0,,
School-Management-System,User,UserHome,actionPerformed,5,1,1,279,0,,
School-Management-System,User,UserLogin,main,14,1,1,38,0,,
School-Management-System,User,UserLogin,run,9,1,0,43,0,,
School-Management-System,User,UserLogin,UserLogin,91,3,0,54,0,,
School-Management-System,User,UserLogin,actionPerformed,33,3,1,103,0,,
School-Management-System,User,UserLogin,actionPerformed,6,1,1,154,0,,
