Project Name,Package Name,Type Name,NOF,NOPF,NOM,NOPM,LOC,WMC,NC,DIT,LCOM,FANIN,FANOUT,File path,Line no
School-Management-System,Admin,aa,2,0,4,4,69,6,0,0,0.75,1,1,C:\Users\SUBRATO\Downloads\Java-JavaFx-Swing-Projects-Desktop-Application-GUI-Software-master\Java-JavaFx-Swing-Projects-Desktop-Application-GUI-Software-master\School-Management-System\Project\Admin\aa.java,24
School-Management-System,Admin,Add_faculty,1,0,4,4,94,8,0,0,1.0,1,0,C:\Users\SUBRATO\Downloads\Java-JavaFx-Swing-Projects-Desktop-Application-GUI-Software-master\Java-JavaFx-Swing-Projects-Desktop-Application-GUI-Software-master\School-Management-System\Project\Admin\Add_faculty.java,24
School-Management-System,Admin,Add_Students,1,0,4,4,185,14,0,0,1.0,2,0,C:\Users\SUBRATO\Downloads\Java-JavaFx-Swing-Projects-Desktop-Application-GUI-Software-master\Java-JavaFx-Swing-Projects-Desktop-Application-GUI-Software-master\School-Management-System\Project\Admin\Add_Students.java,31
School-Management-System,Admin,AdminHome,2,0,12,12,176,16,0,0,1.0,1,6,C:\Users\SUBRATO\Downloads\Java-JavaFx-Swing-Projects-Desktop-Application-GUI-Software-master\Java-JavaFx-Swing-Projects-Desktop-Application-GUI-Software-master\School-Management-System\Project\Admin\AdminHome.java,27
School-Management-System,Admin,AdminLogin,10,0,5,5,118,9,0,0,0.8,2,2,C:\Users\SUBRATO\Downloads\Java-JavaFx-Swing-Projects-Desktop-Application-GUI-Software-master\Java-JavaFx-Swing-Projects-Desktop-Application-GUI-Software-master\School-Management-System\Project\Admin\AdminLogin.java,24
School-Management-System,Admin,AdminSearch,1,0,4,4,152,8,0,0,1.0,2,1,C:\Users\SUBRATO\Downloads\Java-JavaFx-Swing-Projects-Desktop-Application-GUI-Software-master\Java-JavaFx-Swing-Projects-Desktop-Application-GUI-Software-master\School-Management-System\Project\Admin\AdminSearch.java,26
School-Management-System,Admin,Home,2,0,3,3,74,5,0,0,1.0,1,0,C:\Users\SUBRATO\Downloads\Java-JavaFx-Swing-Projects-Desktop-Application-GUI-Software-master\Java-JavaFx-Swing-Projects-Desktop-Application-GUI-Software-master\School-Management-System\Project\Admin\Home.java,17
School-Management-System,User,Change,3,0,4,4,65,4,0,0,0.75,1,0,C:\Users\SUBRATO\Downloads\Java-JavaFx-Swing-Projects-Desktop-Application-GUI-Software-master\Java-JavaFx-Swing-Projects-Desktop-Application-GUI-Software-master\School-Management-System\Project\User\Change.java,25
School-Management-System,User,UserHome,1,0,7,7,208,12,0,0,1.0,1,2,C:\Users\SUBRATO\Downloads\Java-JavaFx-Swing-Projects-Desktop-Application-GUI-Software-master\Java-JavaFx-Swing-Projects-Desktop-Application-GUI-Software-master\School-Management-System\Project\User\UserHome.java,34
School-Management-System,User,UserLogin,10,0,5,5,123,9,0,0,0.8,2,2,C:\Users\SUBRATO\Downloads\Java-JavaFx-Swing-Projects-Desktop-Application-GUI-Software-master\Java-JavaFx-Swing-Projects-Desktop-Application-GUI-Software-master\School-Management-System\Project\User\UserLogin.java,25
