Project Name,Package Name,Type Name,Method Name,LOC,CC,PC,Line no,IsTest,Main prod class tested,Production classes tested
Stadium-Management-Sytem,Stedium_Management,Add_events,main,14,1,1,42,0,,
Stadium-Management-Sytem,Stedium_Management,Add_events,run,9,1,0,44,0,,
Stadium-Management-Sytem,Stedium_Management,Add_events,Add_events,82,4,0,55,0,,
Stadium-Management-Sytem,Stedium_Management,Add_events,actionPerformed,8,2,1,116,0,,
Stadium-Management-Sytem,Stedium_Management,Add_events,actionPerformed,12,3,1,140,0,,
Stadium-Management-Sytem,Stedium_Management,AdminLogin,main,15,1,1,31,0,,
Stadium-Management-Sytem,Stedium_Management,AdminLogin,run,10,1,0,36,0,,
Stadium-Management-Sytem,Stedium_Management,AdminLogin,AdminLogin,67,2,0,48,0,,
Stadium-Management-Sytem,Stedium_Management,AdminLogin,actionPerformed,15,2,1,96,0,,
Stadium-Management-Sytem,Stedium_Management,AdminLogin,actionPerformed,6,1,1,122,0,,
Stadium-Management-Sytem,Stedium_Management,Admin_host,main,14,1,1,35,0,,
Stadium-Management-Sytem,Stedium_Management,Admin_host,run,9,1,0,40,0,,
Stadium-Management-Sytem,Stedium_Management,Admin_host,Admin_host,111,2,0,51,0,,
Stadium-Management-Sytem,Stedium_Management,Admin_host,actionPerformed,6,1,1,78,0,,
Stadium-Management-Sytem,Stedium_Management,Admin_host,actionPerformed,6,1,1,89,0,,
Stadium-Management-Sytem,Stedium_Management,Admin_host,actionPerformed,6,1,1,100,0,,
Stadium-Management-Sytem,Stedium_Management,Admin_host,actionPerformed,4,1,1,111,0,,
Stadium-Management-Sytem,Stedium_Management,Admin_host,actionPerformed,4,1,1,120,0,,
Stadium-Management-Sytem,Stedium_Management,Admin_host,actionPerformed,4,1,1,130,0,,
Stadium-Management-Sytem,Stedium_Management,Admin_host,actionPerformed,2,1,1,141,0,,
Stadium-Management-Sytem,Stedium_Management,Admin_host,actionPerformed,9,2,1,152,0,,
Stadium-Management-Sytem,Stedium_Management,Create_ac,main,14,1,1,37,0,,
Stadium-Management-Sytem,Stedium_Management,Create_ac,run,9,1,0,42,0,,
Stadium-Management-Sytem,Stedium_Management,Create_ac,Create_ac,122,3,0,53,0,,
Stadium-Management-Sytem,Stedium_Management,Create_ac,actionPerformed,31,3,1,140,0,,
Stadium-Management-Sytem,Stedium_Management,Create_ac,actionPerformed,6,1,1,190,0,,
Stadium-Management-Sytem,Stedium_Management,MainScreen,MainScreen,3,1,1,28,0,,
Stadium-Management-Sytem,Stedium_Management,MainScreen,main,15,1,1,31,0,,
Stadium-Management-Sytem,Stedium_Management,MainScreen,run,10,1,0,36,0,,
Stadium-Management-Sytem,Stedium_Management,MainScreen,MainScreen,46,1,0,51,0,,
Stadium-Management-Sytem,Stedium_Management,MainScreen,actionPerformed,6,1,1,75,0,,
Stadium-Management-Sytem,Stedium_Management,MainScreen,actionPerformed,6,1,1,88,0,,
Stadium-Management-Sytem,Stedium_Management,Show_bookings,main,14,1,1,24,0,,
Stadium-Management-Sytem,Stedium_Management,Show_bookings,run,9,1,0,29,0,,
Stadium-Management-Sytem,Stedium_Management,Show_bookings,Show_bookings,14,1,0,40,0,,
Stadium-Management-Sytem,Stedium_Management,Stedium_Management,main,5,1,1,10,0,,
Stadium-Management-Sytem,Stedium_Management,Userlogin,main,14,1,1,34,0,,
Stadium-Management-Sytem,Stedium_Management,Userlogin,run,9,1,0,39,0,,
Stadium-Management-Sytem,Stedium_Management,Userlogin,Userlogin,88,2,0,51,0,,
Stadium-Management-Sytem,Stedium_Management,Userlogin,actionPerformed,15,2,1,94,0,,
Stadium-Management-Sytem,Stedium_Management,Userlogin,actionPerformed,6,1,1,188,0,,
Stadium-Management-Sytem,Stedium_Management,Userlogin,actionPerformed,6,1,1,202,0,,
Stadium-Management-Sytem,Stedium_Management,Userlogin,actionPerformed,2,1,1,215,0,,
Stadium-Management-Sytem,Stedium_Management,User_host,main,14,1,1,43,0,,
Stadium-Management-Sytem,Stedium_Management,User_host,run,9,1,0,48,0,,
Stadium-Management-Sytem,Stedium_Management,User_host,User_host,206,6,0,59,0,,
Stadium-Management-Sytem,Stedium_Management,User_host,actionPerformed,9,2,1,75,0,,
Stadium-Management-Sytem,Stedium_Management,User_host,itemStateChanged,19,3,1,121,0,,
Stadium-Management-Sytem,Stedium_Management,User_host,itemStateChanged,4,2,1,239,0,,
Stadium-Management-Sytem,Stedium_Management,User_host,actionPerformed,20,2,1,264,0,,
